Main_Source_of_Income,Education_Expenditure,Household_Head_Sex,Household_Head_Age,Total_members_employed
Enterpreneurial Activities,0,Male,45,0
Enterpreneurial Activities,350,Male,36,0
Enterpreneurial Activities,1800,Male,46,0
Wage/Salaries,450,Male,31,1
Enterpreneurial Activities,750,Male,36,0
Enterpreneurial Activities,500,Male,39,0
Wage/Salaries,44200,Male,49,2
Enterpreneurial Activities,500,Male,40,0
Enterpreneurial Activities,1150,Male,50,0
Enterpreneurial Activities,0,Male,28,0
Enterpreneurial Activities,300,Male,24,0
Enterpreneurial Activities,450,Male,38,0
Enterpreneurial Activities,19200,Male,40,0
Enterpreneurial Activities,1240,Male,29,0
Enterpreneurial Activities,3450,Male,38,0
Enterpreneurial Activities,1450,Male,40,0
Enterpreneurial Activities,750,Male,46,0
Enterpreneurial Activities,1100,Male,35,0
Enterpreneurial Activities,350,Male,28,0
Enterpreneurial Activities,900,Female,46,0
Enterpreneurial Activities,0,Male,42,0
Enterpreneurial Activities,750,Male,30,0
Enterpreneurial Activities,1150,Male,37,0
Enterpreneurial Activities,700,Male,40,0
Enterpreneurial Activities,750,Male,45,0
Enterpreneurial Activities,850,Male,42,0
Enterpreneurial Activities,500,Male,40,0
Enterpreneurial Activities,500,Male,30,0
Enterpreneurial Activities,1950,Male,48,0
Enterpreneurial Activities,1250,Male,32,0
Enterpreneurial Activities,5000,Male,55,0
Enterpreneurial Activities,12230,Male,56,1
Enterpreneurial Activities,900,Male,28,0
Enterpreneurial Activities,2025,Male,35,0
Enterpreneurial Activities,950,Male,29,0
Enterpreneurial Activities,2450,Male,35,0
Enterpreneurial Activities,4450,Male,56,1
Enterpreneurial Activities,700,Male,29,0
Wage/Salaries,700,Male,45,1
Wage/Salaries,900,Male,43,1
Enterpreneurial Activities,1070,Male,40,1
Wage/Salaries,1350,Male,36,1
Wage/Salaries,2860,Male,50,1
Enterpreneurial Activities,1200,Male,27,0
Enterpreneurial Activities,0,Male,30,0
Wage/Salaries,19397,Female,46,1
Enterpreneurial Activities,0,Male,30,0
Wage/Salaries,0,Male,65,2
Wage/Salaries,1350,Female,44,1
Wage/Salaries,950,Male,30,1
Enterpreneurial Activities,0,Male,24,0
Enterpreneurial Activities,0,Male,61,0
Enterpreneurial Activities,1550,Male,49,0
Wage/Salaries,1070,Male,47,1
Enterpreneurial Activities,0,Male,28,0
Enterpreneurial Activities,1380,Male,35,0
Enterpreneurial Activities,0,Male,30,0
Wage/Salaries,750,Male,32,1
Enterpreneurial Activities,2390,Male,37,2
Enterpreneurial Activities,0,Male,26,0
Enterpreneurial Activities,700,Male,28,0
Enterpreneurial Activities,0,Male,39,0
Enterpreneurial Activities,1360,Male,36,0
Enterpreneurial Activities,0,Male,48,0
Enterpreneurial Activities,0,Male,46,0
Enterpreneurial Activities,0,Male,54,0
Enterpreneurial Activities,0,Male,42,0
Enterpreneurial Activities,0,Male,61,0
Enterpreneurial Activities,0,Male,40,0
Enterpreneurial Activities,0,Male,53,0
Enterpreneurial Activities,1350,Male,36,0
Enterpreneurial Activities,0,Male,52,0
Enterpreneurial Activities,1400,Male,36,0
Enterpreneurial Activities,3450,Male,45,0
Enterpreneurial Activities,1100,Male,30,0
Enterpreneurial Activities,12000,Male,57,0
Enterpreneurial Activities,800,Male,36,0
Enterpreneurial Activities,500,Male,27,0
Enterpreneurial Activities,600,Male,31,0
Enterpreneurial Activities,1000,Male,47,0
Enterpreneurial Activities,150,Male,31,0
Enterpreneurial Activities,700,Male,34,0
Enterpreneurial Activities,1400,Male,38,0
Enterpreneurial Activities,1050,Male,57,0
Wage/Salaries,2475,Male,35,1
Enterpreneurial Activities,850,Male,35,0
Enterpreneurial Activities,1520,Male,51,0
Enterpreneurial Activities,1350,Male,47,0
Enterpreneurial Activities,1550,Male,42,0
Enterpreneurial Activities,2160,Male,57,0
Enterpreneurial Activities,350,Male,32,0
Enterpreneurial Activities,800,Male,26,0
Wage/Salaries,3250,Male,64,2
Enterpreneurial Activities,900,Male,45,0
Enterpreneurial Activities,1100,Male,33,0
Enterpreneurial Activities,1905,Male,34,0
Enterpreneurial Activities,750,Male,31,0
Enterpreneurial Activities,650,Male,29,0
Enterpreneurial Activities,400,Male,34,0
Wage/Salaries,1200,Male,31,1
Enterpreneurial Activities,1850,Male,46,0
Enterpreneurial Activities,550,Male,33,0
Enterpreneurial Activities,2000,Male,46,0
Enterpreneurial Activities,0,Male,33,0
Enterpreneurial Activities,1050,Male,31,0
Enterpreneurial Activities,250,Male,39,0
Enterpreneurial Activities,750,Male,33,0
Enterpreneurial Activities,700,Male,35,0
Enterpreneurial Activities,1400,Male,39,0
Enterpreneurial Activities,1240,Male,38,0
Enterpreneurial Activities,500,Male,30,0
Enterpreneurial Activities,520,Male,28,0
Enterpreneurial Activities,1050,Male,28,0
Enterpreneurial Activities,770,Male,33,0
Enterpreneurial Activities,700,Male,32,0
Enterpreneurial Activities,750,Male,28,0
Enterpreneurial Activities,570,Male,45,0
Enterpreneurial Activities,400,Male,45,0
Enterpreneurial Activities,0,Male,25,0
Enterpreneurial Activities,950,Male,32,0
Enterpreneurial Activities,0,Male,56,0
Enterpreneurial Activities,1240,Male,31,0
Enterpreneurial Activities,0,Male,28,0
Enterpreneurial Activities,0,Male,28,0
Enterpreneurial Activities,1540,Male,39,0
Enterpreneurial Activities,700,Male,38,0
Enterpreneurial Activities,1600,Male,38,0
Enterpreneurial Activities,1490,Male,32,0
Enterpreneurial Activities,2050,Male,45,0
Enterpreneurial Activities,800,Male,35,0
Enterpreneurial Activities,2600,Male,30,0
Enterpreneurial Activities,1700,Male,45,0
Enterpreneurial Activities,1190,Male,30,0
Enterpreneurial Activities,0,Male,22,0
Enterpreneurial Activities,0,Male,25,0
Enterpreneurial Activities,1700,Male,35,0
Enterpreneurial Activities,1740,Male,37,0
Enterpreneurial Activities,0,Male,76,0
Other sources of Income,0,Female,47,1
Wage/Salaries,0,Male,53,1
Wage/Salaries,27466,Male,57,1
Other sources of Income,6669,Female,79,1
Other sources of Income,0,Male,62,0
Wage/Salaries,35000,Female,65,1
Enterpreneurial Activities,0,Female,44,0
Other sources of Income,0,Male,55,0
Enterpreneurial Activities,17600,Female,68,0
Other sources of Income,21950,Male,54,0
Wage/Salaries,53300,Female,47,2
Wage/Salaries,0,Male,77,1
Enterpreneurial Activities,1800,Female,58,2
Wage/Salaries,880,Female,52,3
Enterpreneurial Activities,670,Male,36,1
Other sources of Income,0,Female,62,1
Wage/Salaries,1320,Male,26,1
Wage/Salaries,2000,Male,43,2
Enterpreneurial Activities,5930,Male,48,1
Other sources of Income,510,Male,51,0
Other sources of Income,580,Male,76,0
Other sources of Income,2035,Male,46,1
Other sources of Income,0,Male,72,0
Other sources of Income,1335,Male,40,1
Other sources of Income,0,Male,67,0
Enterpreneurial Activities,500,Male,27,0
Other sources of Income,1020,Male,70,0
Other sources of Income,6655,Male,37,1
Enterpreneurial Activities,297,Male,24,0
Other sources of Income,0,Male,56,3
Other sources of Income,0,Male,72,0
Enterpreneurial Activities,0,Male,52,0
Wage/Salaries,0,Male,61,1
Enterpreneurial Activities,150,Male,56,0
Other sources of Income,3350,Male,73,0
Other sources of Income,4800,Female,41,0
Other sources of Income,11425,Male,64,0
Enterpreneurial Activities,1375,Male,63,2
Other sources of Income,0,Male,57,2
Wage/Salaries,1380,Male,34,1
Wage/Salaries,1610,Male,38,2
Other sources of Income,11300,Female,43,0
Other sources of Income,2260,Male,47,0
Other sources of Income,930,Male,49,1
Other sources of Income,0,Female,66,0
Other sources of Income,0,Male,28,1
Other sources of Income,300,Male,65,0
Other sources of Income,0,Female,66,1
Other sources of Income,868,Female,36,0
Enterpreneurial Activities,6675,Male,42,1
Other sources of Income,1200,Male,49,2
Other sources of Income,4080,Male,38,0
Enterpreneurial Activities,450,Male,32,0
Other sources of Income,660,Male,61,1
Other sources of Income,1050,Male,65,0
Wage/Salaries,100,Male,32,1
Enterpreneurial Activities,120,Male,35,1
Wage/Salaries,1090,Male,52,1
Wage/Salaries,500,Male,46,2
Enterpreneurial Activities,2800,Male,36,0
Other sources of Income,0,Female,71,0
Other sources of Income,300,Female,45,1
Enterpreneurial Activities,450,Male,21,0
Wage/Salaries,5710,Male,50,3
Enterpreneurial Activities,550,Male,34,0
Other sources of Income,4120,Male,53,1
Other sources of Income,700,Female,78,0
Enterpreneurial Activities,300,Male,52,2
Other sources of Income,950,Male,52,1
Enterpreneurial Activities,12000,Male,52,1
Enterpreneurial Activities,250,Male,68,2
Wage/Salaries,350,Male,48,0
Wage/Salaries,0,Male,34,1
Wage/Salaries,0,Male,32,1
Enterpreneurial Activities,500,Male,58,0
Other sources of Income,950,Male,53,0
Wage/Salaries,0,Male,54,2
Wage/Salaries,0,Male,62,2
Other sources of Income,0,Male,77,0
Wage/Salaries,80,Male,44,1
Other sources of Income,1529,Male,47,1
Enterpreneurial Activities,932,Male,42,1
Wage/Salaries,260,Male,25,1
Wage/Salaries,593,Male,73,1
Wage/Salaries,839,Male,41,1
Other sources of Income,0,Male,61,0
Enterpreneurial Activities,1540,Male,51,1
Wage/Salaries,3960,Male,62,2
Wage/Salaries,0,Male,57,2
Wage/Salaries,469,Male,35,1
Wage/Salaries,784,Male,63,4
Enterpreneurial Activities,656,Male,40,0
Wage/Salaries,80,Male,26,2
Enterpreneurial Activities,0,Female,93,0
Other sources of Income,50040,Male,64,0
Enterpreneurial Activities,4696,Male,47,0
Enterpreneurial Activities,3210,Male,35,1
Other sources of Income,13600,Female,67,0
Enterpreneurial Activities,9350,Male,42,0
Other sources of Income,770,Male,81,1
Wage/Salaries,0,Male,52,1
Wage/Salaries,13870,Male,59,5
Wage/Salaries,0,Male,40,3
Wage/Salaries,372,Male,33,1
Wage/Salaries,850,Male,60,2
Wage/Salaries,1360,Male,43,3
Wage/Salaries,370,Male,46,4
Wage/Salaries,1120,Male,50,2
Enterpreneurial Activities,250,Male,29,0
Wage/Salaries,2099,Male,35,2
Wage/Salaries,300,Female,31,3
Wage/Salaries,10,Male,43,3
Wage/Salaries,454,Male,50,3
Wage/Salaries,0,Male,43,2
Wage/Salaries,2000,Male,73,2
Wage/Salaries,62,Male,63,2
Other sources of Income,7032,Female,49,1
Wage/Salaries,0,Male,65,1
Wage/Salaries,2590,Male,35,2
Other sources of Income,45620,Male,43,1
Other sources of Income,0,Female,70,0
Other sources of Income,5549,Female,77,2
Other sources of Income,0,Male,64,0
Wage/Salaries,3600,Male,68,1
Enterpreneurial Activities,0,Male,62,0
Other sources of Income,0,Female,67,0
Other sources of Income,0,Male,53,1
Other sources of Income,0,Male,84,0
Wage/Salaries,0,Female,59,2
Wage/Salaries,27350,Male,30,2
Other sources of Income,16250,Female,75,0
Wage/Salaries,1300,Male,41,1
Enterpreneurial Activities,700,Male,40,0
Wage/Salaries,35450,Male,52,1
Wage/Salaries,310,Male,33,1
Wage/Salaries,1080,Male,51,1
Other sources of Income,14000,Female,47,2
Wage/Salaries,194000,Male,57,1
Wage/Salaries,5040,Male,43,3
Wage/Salaries,2050,Male,37,2
Wage/Salaries,990,Male,40,4
Enterpreneurial Activities,187,Male,57,2
Wage/Salaries,2850,Female,48,2
Wage/Salaries,1070,Male,34,1
Other sources of Income,625,Male,36,0
Other sources of Income,360,Male,80,1
Other sources of Income,0,Male,56,1
Enterpreneurial Activities,939,Male,29,1
Wage/Salaries,550,Male,42,3
Wage/Salaries,0,Female,72,1
Enterpreneurial Activities,3830,Male,30,1
Other sources of Income,650,Female,64,1
Enterpreneurial Activities,19665,Male,40,1
Wage/Salaries,0,Male,70,1
Wage/Salaries,280,Male,44,1
Enterpreneurial Activities,830,Male,37,0
Wage/Salaries,1570,Male,58,1
Wage/Salaries,310,Male,39,2
Other sources of Income,7600,Male,50,2
Wage/Salaries,20980,Male,62,2
Other sources of Income,14280,Male,75,1
Wage/Salaries,570,Male,32,2
Wage/Salaries,4830,Female,69,3
Wage/Salaries,860,Male,49,1
Other sources of Income,0,Female,83,0
Other sources of Income,7000,Female,52,2
Enterpreneurial Activities,782,Male,36,0
Wage/Salaries,0,Male,83,1
Wage/Salaries,0,Male,37,1
Other sources of Income,0,Male,68,0
Other sources of Income,0,Male,67,1
Wage/Salaries,320,Male,68,1
Other sources of Income,1480,Female,33,0
Wage/Salaries,1180,Female,53,2
Other sources of Income,810,Male,49,1
Other sources of Income,300,Female,31,0
Other sources of Income,3720,Female,67,0
Other sources of Income,0,Male,74,0
Other sources of Income,13800,Male,30,0
Wage/Salaries,226000,Male,58,4
Wage/Salaries,16000,Male,55,3
Enterpreneurial Activities,1550,Male,53,0
Enterpreneurial Activities,2070,Male,45,0
Other sources of Income,3668,Female,33,1
Enterpreneurial Activities,2670,Male,52,2
Wage/Salaries,11105,Male,43,1
Enterpreneurial Activities,0,Male,61,0
Wage/Salaries,2350,Male,54,1
Enterpreneurial Activities,1450,Male,77,0
Wage/Salaries,820,Male,31,1
Wage/Salaries,5820,Female,57,3
Wage/Salaries,8100,Male,63,1
Other sources of Income,9800,Male,60,0
Other sources of Income,0,Male,67,0
Enterpreneurial Activities,0,Male,30,0
Other sources of Income,7100,Female,71,0
Enterpreneurial Activities,11500,Male,36,0
Wage/Salaries,9685,Male,46,1
Other sources of Income,8898,Female,43,0
Wage/Salaries,88990,Male,39,2
Wage/Salaries,150,Female,29,1
Wage/Salaries,1370,Female,54,2
Wage/Salaries,0,Male,62,2
Wage/Salaries,7000,Male,61,2
Other sources of Income,0,Female,59,0
Enterpreneurial Activities,330,Male,47,0
Enterpreneurial Activities,1000,Male,41,0
Enterpreneurial Activities,610,Male,43,0
Wage/Salaries,580,Male,73,1
Wage/Salaries,12845,Male,55,1
Wage/Salaries,0,Female,66,3
Wage/Salaries,923,Male,28,1
Enterpreneurial Activities,429,Female,29,0
Wage/Salaries,0,Male,39,1
Enterpreneurial Activities,0,Male,61,1
Other sources of Income,2120,Male,72,0
Wage/Salaries,16445,Male,41,1
Wage/Salaries,380,Male,52,2
Other sources of Income,0,Male,61,2
Wage/Salaries,0,Male,44,1
Wage/Salaries,0,Male,78,1
Wage/Salaries,620,Male,58,3
Wage/Salaries,3915,Female,70,1
Wage/Salaries,0,Female,66,1
Wage/Salaries,400,Male,37,3
Wage/Salaries,3000,Male,54,3
Other sources of Income,100,Female,64,0
Wage/Salaries,120,Male,59,0
Wage/Salaries,306,Male,30,1
Other sources of Income,390,Female,50,1
Other sources of Income,7833,Male,38,1
Other sources of Income,0,Male,73,1
Enterpreneurial Activities,930,Male,46,1
Wage/Salaries,1720,Male,35,2
Wage/Salaries,0,Male,66,3
Other sources of Income,0,Male,66,3
Wage/Salaries,1700,Male,49,1
Other sources of Income,0,Male,59,1
Other sources of Income,0,Male,41,1
Wage/Salaries,4300,Male,40,2
Other sources of Income,0,Male,58,0
Other sources of Income,692,Female,77,0
Wage/Salaries,1514,Male,47,1
Other sources of Income,330,Male,37,1
Other sources of Income,0,Male,24,1
Other sources of Income,0,Male,22,1
Wage/Salaries,300,Male,44,1
Other sources of Income,0,Male,77,0
Wage/Salaries,330,Male,56,2
Wage/Salaries,1590,Male,41,3
Enterpreneurial Activities,1115,Male,26,0
Other sources of Income,0,Male,80,0
Enterpreneurial Activities,394,Male,37,0
Other sources of Income,1520,Male,36,0
Other sources of Income,1071,Male,46,0
Enterpreneurial Activities,0,Male,78,0
Other sources of Income,1525,Male,43,0
Other sources of Income,0,Female,65,1
Wage/Salaries,0,Male,35,2
Other sources of Income,855,Male,43,0
Other sources of Income,300,Female,68,2
Enterpreneurial Activities,3000,Male,55,2
Wage/Salaries,23050,Female,37,2
Other sources of Income,0,Female,55,1
Enterpreneurial Activities,0,Male,80,0
Other sources of Income,0,Male,80,0
Wage/Salaries,152,Male,60,2
Enterpreneurial Activities,8370,Male,62,0
Other sources of Income,570,Male,76,1
Enterpreneurial Activities,0,Female,50,0
Wage/Salaries,250,Female,27,1
Enterpreneurial Activities,420,Male,41,0
Wage/Salaries,0,Male,40,1
Other sources of Income,0,Female,88,1
Other sources of Income,11161,Male,61,0
Enterpreneurial Activities,0,Male,64,0
Other sources of Income,250,Male,45,1
Wage/Salaries,650,Female,47,1
Other sources of Income,570,Male,32,1
Other sources of Income,0,Male,40,1
Enterpreneurial Activities,0,Male,41,0
Wage/Salaries,0,Male,47,1
Enterpreneurial Activities,980,Male,54,1
Other sources of Income,0,Male,53,1
Enterpreneurial Activities,3480,Male,71,1
Wage/Salaries,2200,Male,37,2
Enterpreneurial Activities,2590,Female,44,0
Wage/Salaries,7950,Male,38,1
Other sources of Income,9465,Male,52,1
Other sources of Income,0,Male,74,0
Enterpreneurial Activities,50,Male,60,0
Other sources of Income,400,Male,47,1
Other sources of Income,11390,Female,87,0
Wage/Salaries,0,Male,52,1
Other sources of Income,6600,Female,30,0
Wage/Salaries,325,Male,63,2
Other sources of Income,5500,Female,38,0
Wage/Salaries,0,Male,41,2
Wage/Salaries,20800,Male,49,3
Wage/Salaries,0,Male,28,1
Wage/Salaries,2380,Male,43,1
Wage/Salaries,9530,Male,56,3
Other sources of Income,875,Male,59,0
Wage/Salaries,0,Female,55,2
Other sources of Income,0,Female,61,1
Other sources of Income,0,Female,63,0
Other sources of Income,26005,Male,21,0
Other sources of Income,7200,Male,59,1
Enterpreneurial Activities,16720,Female,65,1
Other sources of Income,5965,Male,39,2
Other sources of Income,0,Female,76,1
Wage/Salaries,0,Male,59,2
Other sources of Income,51694,Female,54,0
Wage/Salaries,0,Female,62,3
Wage/Salaries,17570,Male,37,1
Other sources of Income,20150,Female,67,0
Wage/Salaries,0,Male,56,1
Other sources of Income,10580,Female,52,0
Other sources of Income,0,Female,78,0
Other sources of Income,7670,Male,52,0
Wage/Salaries,150,Male,48,1
Other sources of Income,0,Male,71,0
Wage/Salaries,950,Male,37,1
Wage/Salaries,0,Female,69,1
Other sources of Income,300,Male,51,2
Other sources of Income,500,Male,47,1
Other sources of Income,8765,Female,42,2
Other sources of Income,200,Male,40,1
Other sources of Income,0,Male,50,3
Other sources of Income,270,Male,43,1
Enterpreneurial Activities,10150,Male,47,0
Other sources of Income,0,Male,78,2
Other sources of Income,487,Male,41,1
Other sources of Income,586,Male,36,1
Other sources of Income,0,Female,75,0
Enterpreneurial Activities,140,Male,45,1
Other sources of Income,0,Female,68,1
Other sources of Income,970,Female,72,0
Enterpreneurial Activities,0,Male,25,0
Other sources of Income,840,Male,57,1
Other sources of Income,380,Male,84,0
Wage/Salaries,0,Male,62,3
Other sources of Income,0,Female,78,0
Enterpreneurial Activities,1292,Male,53,0
Wage/Salaries,13900,Male,39,1
Enterpreneurial Activities,0,Female,74,0
Other sources of Income,3372,Male,37,1
Enterpreneurial Activities,740,Male,55,0
